dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,vae_augmented_step_6_best_acc,vae_augmented_step_6_best_f1,classifier_augmented_step_6_best_acc,classifier_augmented_step_6_best_f1,vae_augmented_step_7_best_acc,vae_augmented_step_7_best_f1,classifier_augmented_step_7_best_acc,classifier_augmented_step_7_best_f1,vae_augmented_step_8_best_acc,vae_augmented_step_8_best_f1,classifier_augmented_step_8_best_acc,classifier_augmented_step_8_best_f1,execution_time,alpha
PigArtPressure,52,105,208,0.8170738120553962,0.8987115017190808,0.850992469875914,0.8130467988837721,0.697096878959555,0.8643882271883653,0.7232474599739737,0.8116916453758238,0.6998044713211962,0.8680839853833227,0.7225826191450698,0.8226399535942407,0.6981871214549777,0.8636863796862707,0.7384792676529977,0.8147655315838953,0.714875586467876,0.8803668241582274,0.7384292947997083,0.8098857141785464,0.7111990898489287,0.8608473810589918,0.7144414942973885,0.8337043444489057,0.6934817683643069,0.851791992045786,0.7313331852904548,0.8728676680655478,0.7018959186619844,0.847110255837514,0.7728039993794087,0.8540788268927373,0.7632726931678812,0.8838839461741134,0.7993293694953345,0.8331433532901341,0.7151588254606461,0.923809760245849,2.2512754281298504,3.0
PigArtPressure,52,105,208,0.8844239837927385,0.8590740927218186,0.8082291697077587,0.8419550557960904,0.8258527333214772,0.7997519042319365,0.7886838643824449,0.808975611462865,0.824695094516467,0.801681071435065,0.7910003328481567,0.80965282474038,0.8305270590620909,0.8044564851851257,0.8139208075354898,0.8310584805547633,0.8186769224172549,0.7964436216350903,0.8226665779846574,0.7958904924034903,0.8164453868799831,0.8223300474773445,0.7858468910336497,0.8227829514476956,0.8651927073622585,0.7932387010085553,0.8248796593770468,0.8110920781652078,0.8383395870108823,0.8360345401855805,0.7926024441017453,0.844835467404026,0.8302917743357152,0.8501745628484799,0.8532289219995353,0.7827790469202915,0.8380494564465335,0.8431946423175438,1.8730894852759605,3.5
PigArtPressure,52,105,208,0.8530822010627893,0.8084704807147002,0.8441031610953269,0.879626009741548,0.7826374713433915,0.8056517515769034,0.83044351942292,0.7487931239020039,0.7906904533273917,0.8153757009002462,0.8257108145883358,0.7584701569974103,0.7947423182226746,0.8110387575787902,0.8410934238240492,0.7610253542106928,0.7884817085744413,0.8115187982158792,0.8475129453879209,0.7474985333624315,0.7772855442130991,0.8404454482482606,0.8152187051056445,0.7414628016540237,0.7982088021586897,0.8043895144774339,0.8803672907732234,0.7660004177454127,0.8033641913814646,0.8600376863286172,0.882040427568444,0.7971446974497789,0.7924589337598151,0.8356613837436552,0.805944091247774,0.7907759508975418,0.8067110603209805,0.8255695434001996,0.5821320691256409,4.0
PigArtPressure,52,105,208,0.8276280390266095,0.8122901977527768,0.8262002602988544,0.8127956742629721,0.7027838025894955,0.704738740382106,0.8171340515031513,0.7517507551621115,0.7024539283727003,0.7050685167923013,0.8144629610908077,0.7581312867989163,0.7071047522485304,0.7221352526762277,0.8285819205072129,0.7535907396800835,0.7238961972200069,0.7300406207953569,0.8475392657382835,0.752605789077782,0.7410371365309197,0.7060914887062023,0.8293010538310273,0.7433294079235933,0.7193516533725626,0.717850674247869,0.8415209633936955,0.7920789167211434,0.7440433908664409,0.7265580190601565,0.8109933649743787,0.7442904245180496,0.6920998282243579,0.7016853697766676,0.896442469470666,0.7653326451642967,0.7106308881260464,0.7378593755983461,2.3027523792600295,4.5
BeetleFly,2,20,20,0.9000000357627869,0.898989898989899,0.9,0.9,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.9000000357627869,0.898989898989899,0.9,0.898989898989899,0.8500000238418579,0.8465473145780051,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,63.176419496536255,1.0
BeetleFly,2,20,20,0.9000000357627869,0.898989898989899,0.9,0.9,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,0.9000000357627869,0.9,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.898989898989899,59.146912574768066,1.5
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.9,0.9,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.9000000357627869,0.898989898989899,0.95,0.949874686716792,56.9032142162323,2.0
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.9,0.9,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,1.0,1.0,0.95,0.949874686716792,0.9000000357627869,0.898989898989899,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.9000000357627869,0.898989898989899,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,48.052809953689575,2.5
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.9,0.898989898989899,1.0,1.0,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,1.0,1.0,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.9000000357627869,0.9,0.95,0.949874686716792,63.71546936035156,3.0
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.85,0.846547314578005,0.949999988079071,0.949874686716792,0.9,0.9,0.949999988079071,0.949874686716792,0.9,0.898989898989899,0.9000000357627869,0.9,0.9,0.898989898989899,1.0,1.0,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,0.9000000357627869,0.898989898989899,0.95,0.949874686716792,0.949999988079071,0.949874686716792,0.95,0.949874686716792,50.680826902389526,3.5
